general,year,conf,espe,serv,obre,admin,auxadm,prof,total,conf_f,espe_f,serv_f,obre_f,admin_f,auxadm_f,prof_f,total_f
biblioteca nacional,1960,10,40,14,0,26,32,4,67,0.6,0.425,0,0,0.6153846153846154,0.0625,0.5,0.34328358208955223
biblioteca nacional,1962,1,96,14,0,26,32,4,155,0,0.2604166666666667,0,0,0.6153846153846154,0.0625,0.5,0.27741935483870966
biblioteca nacional,1963,1,76,14,0,18,27,4,122,0,0.3026315789473684,0,0,0.6111111111111112,0.07407407407407407,0.5,0.29508196721311475
biblioteca nacional,1964,2,110,14,0,30,46,4,188,0,0.3090909090909091,0,0,0.5,0.08695652173913043,0.5,0.28191489361702127
biblioteca nacional,1965,2,100,14,0,27,43,4,172,0,0.3,0,0,0.48148148148148145,0.06976744186046512,0.5,0.26744186046511625
biblioteca nacional,1966,2,91,14,0,24,41,4,156,0,0.27472527472527475,0,0,0.5,0.07317073170731707,0.5,0.2564102564102564
biblioteca nacional,1967,2,81,14,0,21,38,4,140,0,0.25925925925925924,0,0,0.47619047619047616,0.05263157894736842,0.5,0.2357142857142857
biblioteca nacional,1968,2,91,14,0,17,41,4,153,0,0.34065934065934067,0,0,0.47058823529411764,0.07317073170731707,0.5,0.2875816993464052
biblioteca nacional,1969,2,80,14,0,38,40,1,159,0,0.375,0,0,0.3684210526315789,0,0,0.27672955974842767
biblioteca nacional,1970,2,73,14,0,56,38,1,168,0,0.3561643835616438,0,0,0.42857142857142855,0,0,0.30357142857142855
biblioteca nacional,1971,2,66,14,0,73,36,1,177,0,0.3484848484848485,0,0,0.4794520547945205,0,0,0.327683615819209
biblioteca nacional,1972,2,66,14,0,74,41,1,183,0,0.2878787878787879,0,0,0.5,0,0,0.30601092896174864
biblioteca nacional,1973,1,66,14,0,70,41,1,179,0,0.3484848484848485,0,0,0.45714285714285713,0.024390243902439025,0,0.3128491620111732
