general,year,n,fem,pert,perm,pern
cch,1971,15059,0.2712663523474334,1,1,1
cch,1972,36474,0.2927839008608872,1,1,1
cch,1973,59149,0.27912559806590137,1,1,1
cch,1974,57205,0.2922996241587274,1,1,1
cch,1975,62161,0.3076687955470472,1,1,1
cch,1976,60375,0.32975569358178053,1,1,1
cch,1977,68814,0.35082977301130586,1,1,1
cch,1978,78123,0.3348949733113168,1,1,1
cch,1979,76746,0.34803116774815623,1,1,1
cch,1980,93179,0.34930617413794957,1,1,1
enap,1960,1240,0.1064516129032258,0.5,0.5,0.7142857142857143
enap,1961,1264,0.14873417721518986,0.5,0.5,0.7142857142857143
enap,1962,1480,0.16486486486486487,0.5,0.5,0.7142857142857143
enap,1963,1552,0.15979381443298968,0.5,0.5,0.7142857142857143
enap,1964,1444,0.16897506925207756,0.5,0.5,0.7142857142857143
enap,1965,1630,0.18036809815950922,0.5,0.5,0.7142857142857143
enap,1966,1798,0.1835372636262514,0.5,0.5,0.7142857142857143
enap,1967,1960,0.19285714285714287,0.5,0.5,0.7142857142857143
enap,1968,1588,0.20151133501259447,0.5,0.5,0.7142857142857143
enap,1969,1360,0.22205882352941175,0.5036764705882353,0.5066225165562914,0.4444444444444444
enap,1970,995,0.20402010050251257,0.5035175879396985,0.49261083743842365,0.42857142857142855
enap,1971,1117,0.21396598030438674,0.4386750223813787,0.4476987447698745,0.42857142857142855
enap,1972,1103,0.257479601087942,0.5004533091568449,0.5,0.38461538461538464
enap,1973,974,0.22587268993839835,0.5,0.5,0.4166666666666667
enap,1974,1278,0.2644757433489828,0.5,0.5,0.3333333333333333
enap,1975,991,0.22906155398587286,0.5005045408678103,0.5022026431718062,0.4166666666666667
enap,1976,1440,0.3,0.5,0.5,0.5
enap,1977,1236,0.2783171521035599,0.5,0.5,0.5
enap,1978,1664,0.34615384615384615,0.5,0.5,0.42857142857142855
enap,1979,1782,0.3557800224466891,0.5,0.5,0.75
enap,1980,940,0.3617021276595745,0.39893617021276595,0.36470588235294116,1
eneo,1960,388,0.9974226804123711,0.7577319587628866,0.7571059431524548,1
eneo,1961,382,0.9842931937172775,0.7643979057591623,0.7659574468085106,1
eneo,1962,469,1,0.8336886993603412,0.8336886993603412,1
eneo,1963,689,1,0.9100145137880987,0.9100145137880987,1
eneo,1964,270,0.9888888888888889,0.7185185185185186,0.7228464419475655,1
eneo,1965,951,0.9978969505783386,0.907465825446898,0.9093782929399368,1
eneo,1966,1008,0.996031746031746,0.8720238095238095,0.8754980079681275,1
eneo,1967,953,1,0.8866736621196223,0.8866736621196223,1
eneo,1968,1006,1,0.9403578528827038,0.9403578528827038,1
eneo,1969,1034,0.9961315280464217,0.9216634429400387,0.9223300970873787,1
eneo,1970,1142,0.9964973730297724,0.946584938704028,0.9472759226713533,1
eneo,1971,1227,0.9975550122249389,0.9168704156479217,0.9166666666666666,1
eneo,1972,1320,0.9893939393939394,0.9537878787878787,0.9548238897396631,1
eneo,1973,1228,0.992671009771987,0.9543973941368078,0.955701394585726,1
eneo,1974,1226,0.9787928221859706,0.9135399673735726,0.9191666666666667,1
eneo,1975,1337,0.9596110695587136,0.8691099476439791,0.8838659392049883,1
eneo,1976,1360,0.9404411764705882,0.8514705882352941,0.8795934323690383,1
eneo,1977,1584,0.9255050505050505,0.8491161616161617,0.8799454297407913,1
eneo,1978,1498,0.8991989319092123,0.7937249666221629,0.8329621380846325,1
eneo,1979,1714,0.8984830805134189,0.7526254375729288,0.7902597402597402,1
eneo,1980,1952,0.9088114754098361,0.7443647540983607,0.7711386696730552,1
enep acatlan,1975,4279,0.25309651787800885,0.4973124561813508,0.42566943674976915,1
enep acatlan,1976,6609,0.2298380995612044,0.406112876380693,0.3969716919025675,1
enep acatlan,1977,8903,0.23059642817027967,0.41502864203077616,0.4188991719434973,1
enep acatlan,1978,13087,0.28776648582562847,0.33399556812103615,0.2793414763674987,1
enep acatlan,1979,16951,0.2904843372072444,0.3338446109374078,0.314378554021121,1
enep acatlan,1980,14538,0.41835190535149264,0.26468565139634065,0.2336402499177902,1
enep aragon,1976,1873,0.2183662573411639,0.26801922050186866,0.3080684596577017,1
enep aragon,1977,3181,0.22382898459603898,0.3813266268469035,0.42275280898876405,1
enep aragon,1978,6421,0.2477807195140944,0.330789596636038,0.36140791954745444,1
enep aragon,1979,8949,0.2531009051290647,0.3548999888255671,0.3938189845474614,1
enep aragon,1980,10055,0.25688712083540527,0.35335653903530584,0.3894696089818041,1
enep cuautitlan,1974,3576,0.2740492170022371,0.3232662192393736,0.5561224489795918,1
enep cuautitlan,1975,4154,0.140346653827636,0.2339913336543091,0.32075471698113206,1
enep cuautitlan,1976,5136,0.18088006230529596,0.23286604361370716,0.33584499461786865,1
enep cuautitlan,1977,5105,0.14280117531831538,0.2863858961802155,0.27983539094650206,1
enep cuautitlan,1978,8260,0.1685230024213075,0.22106537530266343,0.22772988505747127,1
enep cuautitlan,1979,8387,0.20054846786693692,0.23357577202813878,0.24197384066587396,1
enep cuautitlan,1980,8919,0.22951003475725978,0.2626976118398924,0.23106985832926233,1
enep iztacala,1975,5122,0.5380710659898477,0.5048809058961343,0.4709724238026125,0.8
enep iztacala,1976,7405,0.5454422687373396,0.437407157326131,0.40802178757118096,0.8
enep iztacala,1977,13439,0.5731081181635538,0.39757422427263933,0.37730459620877693,0.8
enep iztacala,1978,12244,0.5557007513884351,0.3891702058150931,0.38918283362727807,0.8
enep iztacala,1979,10837,0.570914459721325,0.3450216849681646,0.34992726684984643,0.8
enep iztacala,1980,11333,0.5651636812847437,0.3464219535868702,0.3553473848555816,0.8
enep zaragoza,1976,2627,0.6033498287019414,0.3585839360487248,0.3476340694006309,0.8571428571428571
enep zaragoza,1977,5335,0.5835051546391753,0.30103092783505153,0.2984259556697719,0.8333333333333334
enep zaragoza,1978,7228,0.5776148312119536,0.29358052019922526,0.3087425149700599,0.8571428571428571
enep zaragoza,1979,7895,0.6353388220392654,0.22317922735908802,0.32894736842105265,0.8571428571428571
enep zaragoza,1980,9558,0.5504289600334799,0.3102113412847876,0.3267439650256605,0.8571428571428571
enp,1960,23101,0.15713605471624606,1,1,1
enp,1961,22921,0.15675581344618472,1,1,1
enp,1962,6139,0.6807297605473204,1,1,1
enp,1963,24855,0.19336149668074834,1,1,1
enp,1964,25508,0.19092049553081386,1,1,1
enp,1965,25383,0.20486152149076153,1,1,1
enp,1966,29707,0.2277241054296967,1,1,1
enp,1967,35832,0.2263340031256977,1,1,1
enp,1968,41110,0.23137922646558015,1,1,1
enp,1969,40114,0.2403400309119011,1,1,1
enp,1970,39943,0.2465262999774679,1,1,1
enp,1971,43958,0.2623868237863415,1,1,1
enp,1972,42777,0.28903382658905485,1,1,1
enp,1973,175428,0.8229302049843811,1,1,1
enp,1974,48766,0.33256777262847065,1,1,1
enp,1975,49189,0.3360507430523084,1,1,1
enp,1976,53172,0.34363950951628675,1,1,1
enp,1977,55589,0.3524618179855727,1,1,1
enp,1978,51173,0.35977957125828075,1,1,1
enp,1979,47500,0.35347368421052633,1,1,1
enp,1980,50635,0.35289819294954083,1,1,1
ents,1960,294,0.9591836734693877,1,1,1
ents,1961,418,0.9210526315789473,1,1,1
ents,1962,436,0.9724770642201835,1,1,1
ents,1963,466,0.9613733905579399,1,1,1
ents,1964,438,0.9315068493150684,1,1,1
ents,1965,458,0.9192139737991266,1,1,1
ents,1966,537,0.8733705772811918,1,1,1
ents,1967,476,0.8634453781512605,1,1,1
ents,1968,582,0.8814432989690721,0.9123711340206185,0.9083820662768031,0.5
ents,1969,642,0.8473520249221184,0.9454828660436138,0.9889705882352942,0.5
ents,1970,681,0.8619676945668135,0.8223201174743024,0.8551959114139693,0.5
ents,1971,615,0.8975609756097561,1,1,1
ents,1972,416,0.8966346153846154,1,1,1
ents,1973,383,0.9138381201044387,1,1,1
ents,1974,350,0.8942857142857142,1,1,1
ents,1975,414,0.8913043478260869,1,1,1
ents,1976,509,0.8840864440078585,1,1,1
ents,1977,737,0.8710990502035278,1,1,1
ents,1978,854,0.8887587822014051,1,1,1
ents,1979,1110,0.8837837837837837,1,1,1
ents,1980,1261,0.8604282315622522,1,1,1
escuela nacional de musica,1960,918,0.5185185185185185,0.40631808278867104,0.4012605042016807,0.3333333333333333
escuela nacional de musica,1961,960,0.5229166666666667,0.346875,0.37649402390438247,0.375
escuela nacional de musica,1962,569,0.5149384885764499,0.4358523725834798,0.5358361774744027,0.5
