dep,nivel,carrera,sexo,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
ENARQ,General,General,Hombres,154,135,334,349,254,120,231,285,303,292,253,272,291,332,436,414,476,462,501,563,732,837,913,1070,1085,1300,1519,1806,2052,2583,2970,3092,3525,3709,3793,3505,3057,3063,3115,3293,3029,3562,3944,4098,3269,3260,3586,5493,6344,6331,6208,
ENARQ,General,General,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,68,91,109,136,165,175,186,225,206,245,249,227,205,229,280,263,356,436,557,548,756,721,911,1168,1213,1322,
ENARQ,Tecnico,Administración Obras,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,0,0,4,7,3,5,,,,
ENARQ,Tecnico,Administración Obras,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,1,5,1,4,,,,
ENARQ,Tecnico,Auxiliar en Construccion,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,2,6,5,3,,,,
ENARQ,Tecnico,Auxiliar en Construccion,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,1,,,,,
ENARQ,Tecnico,Dibujante auxiliar de Arquitecto,Hombres,,,,,,,,,,,,102,96,110,134,73,76,32,43,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENARQ,Tecnico,Dibujante auxiliar de Arquitecto,Mujeres,,,,,,,,,,,,7,4,5,8,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENARQ,Licenciatura,Arquitectura,Hombres,,,,,,,,,,,,154,180,206,286,318,371,399,425,508,696,794,868,1023,1042,1300,1519,1806,2052,2583,2970,3092,3525,3709,3793,3505,3057,3063,3115,3261,2986,3384,3786,3862,3179,5047,4388,5199,6005,6203,5922,3537
ENARQ,Licenciatura,Arquitectura,Mujeres,,,,,,,,,,,,9,11,11,8,19,25,27,30,33,36,43,45,47,43,68,91,109,136,165,175,186,225,206,245,249,227,205,229,276,255,323,393,493,520,718,677,852,1057,1168,1232,736
ENARQ,Licenciatura,Diseño industrial,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,63,89,203,90,113,84,88,152,95,59,
ENARQ,Licenciatura,Diseño industrial,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,30,59,28,26,33,26,71,40,28,
ENARQ,Especialización,Prefabricacion e industrialización de edificios,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,,,,
ENARQ,Especialización,Prefabricacion e industrialización de edificios,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
ENARQ,Especialización,Terminales de transportes,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,
ENARQ,Especialización,Terminales de transportes,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
ENARQ,Especialización,Terminales de transportes,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,9,,,,,,,,49,
ENARQ,Especialización,Terminales de transportes,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,
ENARQ,Maestria,Arquitectura tecnologica,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,37,
ENARQ,Maestria,Arquitectura tecnologica,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,7,
ENARQ,Maestria,Arquitectura,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,,,,,,9,33,,
ENARQ,Maestria,Arquitectura,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,5,,
ENARQ,Maestria,Diseño arquitectonico,Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,,13,42,31,41,,
ENARQ,Maestria,Diseño arquitectonico,Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,5,,
ENARQ,Maestria,Tecnologia (restauración de monumentos),Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,,9,14,,,,,46,,66,
