general,year,num_Salones_de_clase,cap_Salones_de_clase,num_bibliotecas,cap_bibliotecas,num_auditorios,cap_auditorios,num_laboratorios,cap_laboratorios,num_talleres_de_docencia,cap_talleres_de_docencia,num_cubiculos,cap_cubiculos,num_cafeterias,cap_cafeterias,num_oficinas_administrativas,cap_oficinas_administrativas
enap,1962,16,461,1,50,1,110,1,10,43,1086,5,69,0,0,4,13
enap,1963,16,461,1,50,1,110,1,10,38,963,5,69,0,0,4,13
enap,1964,16,461,1,50,1,110,1,10,38,963,5,69,0,0,4,13
enap,1965,16,461,1,50,1,110,1,10,38,963,5,69,0,0,4,13
enap,1966,10,346,1,51,1,130,2,21,26,726,5,69,0,0,4,13
enap,1967,5,230,1,52,1,149,2,33,13,490,5,69,0,0,4,13
enap,1968,26,654,1,52,1,169,3,44,13,348,5,69,0,0,4,13
enap,1969,47,1078,1,52,2,188,3,56,13,205,5,69,0,0,4,13
enap,1970,47,1078,1,52,2,208,4,67,58,205,5,69,0,0,4,13
enap,1971,47,1078,1,52,2,227,4,79,103,205,5,69,0,0,4,13
enap,1972,21,620,2,170,2,247,5,90,38,400,2,4,0,0,4,13
enap,1973,21,620,2,154,2,247,5,128,38,494,2,4,0,0,4,13
enap,1974,21,620,2,138,2,247,5,165,38,588,2,4,0,0,4,13
enap,1975,22,528,2,121,2,247,14,202,49,681,2,4,0,0,4,13
enap,1976,14,690,2,105,2,247,8,240,31,775,2,4,0,0,4,13
enap,1977,14,602,1,45,2,247,2,50,25,450,2,4,0,0,4,13
enap,1978,12,560,2,170,2,247,9,220,31,950,2,4,0,0,4,13
enap,1979,12,560,2,170,2,247,9,220,31,950,2,4,0,0,4,13
enap,1980,12,560,2,170,2,247,9,220,31,950,2,4,0,0,4,13
facultad de arquitectura,1962,50,2600,1,70,1,463,1,32,3,242,26,40,1,56,16,47
facultad de arquitectura,1963,50,3140,1,76,1,464,1,32,3,200,26,40,1,56,16,47
facultad de arquitectura,1964,50,3140,1,76,1,464,1,32,3,200,26,40,1,56,16,47
facultad de arquitectura,1965,50,3140,1,76,1,464,1,32,3,200,26,40,1,56,16,47
facultad de arquitectura,1966,34,2296,1,58,1,460,1,32,10,427,26,40,1,56,16,47
facultad de arquitectura,1967,17,1453,1,40,1,456,1,32,18,654,26,40,1,56,16,47
facultad de arquitectura,1968,47,3592,2,40,1,457,1,32,18,654,28,49,1,56,18,72
facultad de arquitectura,1969,77,5730,2,40,1,458,1,32,18,654,31,58,1,56,20,98
facultad de arquitectura,1970,77,5730,2,40,1,458,1,32,18,654,31,58,1,56,20,98
facultad de arquitectura,1971,77,5730,2,40,1,458,1,32,18,654,31,58,1,56,20,98
facultad de arquitectura,1972,89,2370,2,170,1,450,4,120,4,120,30,30,1,56,20,98
facultad de arquitectura,1973,79,6105,2,180,1,450,6,124,8,486,30,30,1,56,20,98
facultad de arquitectura,1974,79,6105,3,191,1,450,6,128,8,852,30,30,1,56,20,98
facultad de arquitectura,1975,46,5192,4,202,1,450,1,131,8,1217,30,30,1,56,20,98
facultad de arquitectura,1976,45,2076,4,212,1,450,7,135,15,1583,30,30,1,56,20,98
facultad de arquitectura,1977,54,2161,4,212,1,450,7,135,15,1583,30,30,1,56,20,98
facultad de arquitectura,1978,45,1557,2,92,1,450,6,114,18,1351,30,30,1,56,20,98
facultad de arquitectura,1979,91,3157,4,176,1,450,1,15,5,40,30,30,1,56,20,98
facultad de arquitectura,1980,91,3157,4,176,1,450,1,15,5,40,30,30,1,56,20,98
eneo,1962,6,334,1,28,1,50,3,200,1,2,1,1,1,50,8,23
eneo,1963,6,371,1,30,1,50,3,108,1,2,1,1,1,50,8,23
eneo,1964,6,371,1,30,1,50,3,108,1,2,1,1,1,50,8,23
eneo,1965,6,371,1,30,1,50,3,108,1,2,1,1,1,50,8,23
eneo,1966,6,296,1,35,1,65,2,114,1,2,1,1,1,52,8,23
eneo,1967,5,220,1,40,1,80,2,120,1,2,1,1,1,55,8,23
eneo,1968,5,220,1,44,1,85,3,146,1,2,1,1,1,58,9,30
eneo,1969,5,220,1,49,1,90,4,172,1,2,1,1,1,60,10,38
eneo,1970,9,470,1,49,1,95,5,212,1,2,2,6,1,60,10,38
eneo,1971,13,719,1,49,1,100,6,252,1,2,2,10,1,60,10,38
eneo,1972,13,715,1,80,1,120,5,250,1,2,1,3,1,60,10,38
eneo,1973,13,715,1,70,1,120,5,275,1,2,1,3,1,60,10,38
eneo,1974,13,715,1,60,1,120,5,300,1,2,1,3,1,60,10,38
eneo,1975,13,715,1,50,1,120,6,325,1,2,1,3,1,60,10,38
eneo,1976,20,1000,1,40,1,120,5,350,1,2,1,3,1,60,10,38
eneo,1977,19,1114,1,40,1,120,5,300,1,2,1,3,1,60,10,38
eneo,1978,20,1200,1,50,1,120,5,300,1,2,1,3,1,60,10,38
eneo,1979,20,1200,1,50,1,120,5,300,1,2,1,3,1,60,10,38
eneo,1980,20,1200,1,50,1,120,5,300,1,2,1,3,1,60,10,38
escuela nacional de musica,1962,25,423,1,30,1,119,2,10,1,2,2,4,0,0,4,18
escuela nacional de musica,1963,26,430,1,30,1,107,2,10,1,2,2,4,0,0,4,18
escuela nacional de musica,1964,26,430,1,30,1,107,2,10,1,2,2,4,0,0,4,18
escuela nacional de musica,1965,26,430,1,30,1,107,2,10,1,2,2,4,0,0,4,18
escuela nacional de musica,1966,28,584,1,35,1,150,2,10,1,2,2,4,0,0,4,18
escuela nacional de musica,1967,30,738,1,40,1,194,2,10,1,2,2,4,0,0,4,18
escuela nacional de musica,1968,34,899,1,43,1,197,2,7,1,2,2,4,0,0,4,22
escuela nacional de musica,1969,37,1060,1,46,1,200,1,4,1,2,2,3,0,0,4,26
escuela nacional de musica,1970,37,1060,1,46,1,200,2,7,1,2,2,3,0,0,4,26
escuela nacional de musica,1971,37,1060,1,46,1,200,2,10,1,2,2,3,0,0,4,26
escuela nacional de musica,1972,38,760,1,30,2,1000,1,70,1,2,3,6,0,0,4,26
escuela nacional de musica,1973,37,760,1,32,2,1000,1,54,1,2,3,6,0,0,4,26
escuela nacional de musica,1974,37,760,1,35,2,1000,1,38,1,2,3,6,0,0,4,26
escuela nacional de musica,1975,37,760,1,38,2,1000,1,21,1,2,3,6,0,0,4,26
escuela nacional de musica,1976,62,800,1,40,2,1000,1,5,1,2,3,6,0,0,4,26
escuela nacional de musica,1977,49,321,1,40,2,1000,2,20,2,52,3,6,0,0,4,26
escuela nacional de musica,1978,49,880,1,30,2,1000,1,10,3,60,3,6,0,0,4,26
escuela nacional de musica,1979,49,880,1,30,2,1000,1,10,3,60,3,6,0,0,4,26
escuela nacional de musica,1980,49,880,1,30,2,1000,1,10,3,60,3,6,0,0,4,26
ents,1974,6,360,1,65,0,0,1,2,1,60,0,0,0,0,0,0
ents,1975,6,367,1,65,0,0,1,2,1,60,0,0,0,0,0,0
ents,1976,6,330,1,65,0,0,1,40,1,60,0,0,0,0,0,0
ents,1977,6,330,1,72,0,0,1,40,1,60,0,0,0,0,0,0
ents,1978,6,360,1,200,0,0,1,40,2,93,0,0,0,0,0,0
ents,1979,6,360,1,200,0,0,1,40,2,93,0,0,0,0,0,0
ents,1980,6,360,1,200,0,0,1,40,2,93,0,0,0,0,0,0
facultad de ciencias,1962,26,1002,1,61,2,473,21,74,3,60,6,96,1,32,12,45
facultad de ciencias,1963,26,1206,1,132,2,502,24,944,3,50,15,64,1,32,12,45
facultad de ciencias,1964,26,1206,1,132,2,502,24,944,3,41,15,64,1,32,12,45
facultad de ciencias,1965,26,1206,1,132,2,502,24,944,2,31,15,64,1,32,12,45
facultad de ciencias,1966,26,1233,2,148,2,490,33,746,2,22,20,57,1,56,12,45
facultad de ciencias,1967,26,1260,2,164,1,478,42,548,2,12,24,50,1,80,12,45
facultad de ciencias,1968,26,1254,2,169,1,445,42,548,2,12,26,55,1,80,12,45
facultad de ciencias,1969,26,1248,3,174,1,412,42,548,2,13,28,60,1,80,12,45
facultad de ciencias,1970,26,1248,2,174,1,412,42,548,2,13,28,60,1,80,12,45
facultad de ciencias,1971,26,1248,2,174,1,412,42,548,2,14,28,60,1,80,12,45
facultad de ciencias,1972,31,1481,1,250,1,400,24,1200,2,14,43,33,1,80,12,45
facultad de ciencias,1973,31,1481,1,262,1,400,24,1278,3,14,43,33,1,80,12,45
facultad de ciencias,1974,25,1557,1,275,1,400,36,1356,4,14,43,33,1,80,12,45
facultad de ciencias,1975,45,1557,1,288,1,400,49,1434,5,13,43,33,1,80,12,45
facultad de ciencias,1976,47,2921,1,300,1,400,51,1512,1,13,43,33,1,80,12,45
facultad de ciencias,1977,86,3300,1,304,1,400,43,1089,2,16,43,33,1,80,12,45
facultad de ciencias,1978,55,2267,3,328,1,400,78,1943,2,20,43,33,1,80,12,45
facultad de ciencias,1979,53,2152,4,275,1,400,105,3150,2,30,43,33,1,80,12,45
facultad de ciencias,1980,53,2152,4,275,1,400,105,3150,2,30,43,33,1,80,12,45
fcpys,1962,14,810,1,33,0,0,1,27,2,70,10,10,1,40,12,69
fcpys,1963,14,833,1,36,0,0,1,60,2,70,10,10,1,40,12,69
fcpys,1964,14,833,1,36,0,0,1,60,2,70,10,10,1,40,12,69
fcpys,1965,14,833,1,36,0,0,1,60,2,70,10,10,1,40,12,69
fcpys,1966,14,818,1,53,0,0,1,44,2,70,12,22,1,50,12,69
fcpys,1967,14,804,1,70,0,0,1,29,2,70,15,35,1,60,12,69
fcpys,1968,14,840,1,70,0,0,1,30,2,70,15,35,1,40,12,69
fcpys,1969,14,876,1,71,0,0,1,31,2,70,15,35,1,20,12,69
fcpys,1970,14,876,1,71,0,0,1,32,2,70,15,35,1,20,12,69
fcpys,1971,14,876,1,71,0,0,1,33,2,70,15,35,1,20,12,69
fcpys,1972,35,2622,1,200,0,0,1,34,2,70,29,58,1,20,12,69
fcpys,1973,25,1557,1,178,0,0,1,35,2,80,29,58,1,20,12,69
fcpys,1974,25,1557,1,155,0,0,1,36,2,89,29,58,1,20,12,69
fcpys,1975,25,1557,1,132,0,0,1,37,2,98,29,58,1,20,12,69
fcpys,1976,35,2672,1,110,0,0,1,38,2,108,29,58,1,20,12,69
fcpys,1977,37,2608,2,180,0,0,1,39,1,60,29,58,1,20,12,69
fcpys,1978,35,2496,1,200,0,0,1,40,2,80,29,58,1,20,12,69
fcpys,1979,35,2304,1,284,0,0,1,40,3,98,29,58,1,20,12,69
fcpys,1980,35,2304,1,284,0,0,1,40,3,98,29,58,1,20,12,69
facultad de contaduria y administracion,1962,48,3305,1,100,1,222,2,45,1,2,4,7,1,35,23,104
facultad de contaduria y administracion,1963,48,3400,1,144,1,240,2,45,1,2,4,7,1,35,23,104
facultad de contaduria y administracion,1964,48,3400,1,144,1,240,2,45,1,2,4,7,1,35,23,104
facultad de contaduria y administracion,1965,49,3579,1,92,1,250,2,45,1,2,4,7,1,40,23,104
facultad de contaduria y administracion,1966,54,3800,2,149,1,227,2,45,1,2,8,16,1,50,23,104
facultad de contaduria y administracion,1967,58,4021,2,206,1,204,2,45,1,2,12,24,1,60,23,104
facultad de contaduria y administracion,1968,86,5880,2,284,1,208,2,45,1,2,22,60,2,160,23,104
facultad de contaduria y administracion,1969,114,7740,2,362,1,212,2,45,1,2,33,95,2,260,23,104
facultad de contaduria y administracion,1970,112,7731,2,362,1,216,2,45,1,2,33,95,2,260,23,104
facultad de contaduria y administracion,1971,110,7722,2,362,1,220,2,45,1,2,33,95,2,260,23,104
facultad de contaduria y administracion,1972,68,4560,3,314,1,600,2,45,1,2,38,76,2,260,23,104
facultad de contaduria y administracion,1973,71,4680,2,323,1,600,2,45,1,2,38,76,2,260,23,104
facultad de contaduria y administracion,1974,71,4680,2,332,1,600,2,45,2,2,38,76,2,260,23,104
facultad de contaduria y administracion,1975,88,4680,2,341,1,600,2,45,2,2,38,76,2,260,23,104
facultad de contaduria y administracion,1976,86,6000,1,350,1,600,1,45,2,2,38,76,2,260,23,104
facultad de contaduria y administracion,1977,76,5768,1,350,1,600,1,20,2,2,38,76,2,260,23,104
facultad de contaduria y administracion,1978,76,5920,2,268,1,600,1,20,2,2,38,76,2,260,23,104
facultad de contaduria y administracion,1979,78,7410,1,300,1,600,1,20,2,2,38,76,2,260,23,104
facultad de contaduria y administracion,1980,78,7410,1,300,1,600,1,20,2,2,38,76,2,260,23,104
facultad de derecho,1962,33,2940,1,195,1,214,9,260,1,0,6,22,1,120,12,108
facultad de derecho,1963,50,3490,1,262,1,208,8,235,1,0,6,22,1,120,12,108
facultad de derecho,1964,50,3490,1,262,1,208,7,210,1,0,6,22,1,120,12,108
