escuela,tipo,clas,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
ENAP,Salones de clase,num,,16,16,16,,5,,47,,47,21,21,21,22,14,14,12,
ENAP,Salones de clase,cap,,461,461,461,,230,,1078,,1078,620,620,620,528,690,602,560,
ENAP,bibliotecas,num,,1,1,1,,1,,1,,1,2,,,,2,1,2,
ENAP,bibliotecas,cap,,50,50,50,,52,,52,,52,170,,,,105,45,170,
ENAP,auditorios,num,,1,1,1,,,,,,,2,,,,,,,
ENAP,auditorios,cap,,110,110,110,,,,,,,247,,,,,,,
ENAP,laboratorios,num,,1,1,1,,,,,,,5,5,5,14,8,2,9,
ENAP,laboratorios,cap,,10,10,10,,,,,,,90,,,,240,50,220,
ENAP,talleres de docencia,num,43,38,38,38,,13,,13,,103,38,38,38,49,31,25,31,
ENAP,talleres de docencia,cap,1086,963,963,963,,490,,205,,205,400,,,,775,450,950,
ENAP,cubiculos,num,,,,,,,,5,,5,2,,,,,,,
ENAP,cubiculos,cap,,,,,,,,69,,69,4,,,,,,,
ENAP,cafeterias,num,,,,,,,,,,,,,,,,,,
ENAP,cafeterias,cap,,,,,,,,,,,,,,,,,,
ENAP,oficinas administrativas,num,,,,,,4,,,,,,,,,,,,
ENAP,oficinas administrativas,cap,,,,,,13,,,,,,,,,,,,
ENARQ,Salones de clase,num,50,50,50,50,,17,,77,,77,89,79,79,46,45,54,45,91
ENARQ,Salones de clase,cap,2600,3140,3140,3140,,1453,,5730,,5730,2370,6105,6105,5192,2076,2161,1557,3157
ENARQ,bibliotecas,num,1,1,1,1,,1,,2,,2,2,,,,4,4,2,4
ENARQ,bibliotecas,cap,70,76,76,76,,40,,40,,40,170,,,,212,212,92,176
ENARQ,auditorios,num,1,1,1,1,,1,,1,,1,1,,,,,,,
ENARQ,auditorios,cap,463,464,464,464,,456,,458,,458,450,,,,,,,
ENARQ,laboratorios,num,,,,,,1,,1,,1,4,6,6,1,7,7,6,1
ENARQ,laboratorios,cap,,,,,,32,,32,,32,120,,,,135,135,114,15
ENARQ,talleres de docencia,num,3,3,3,3,,18,,18,,18,4,8,8,8,15,15,18,5
ENARQ,talleres de docencia,cap,242,200,200,200,,654,,654,,654,120,,,,1583,1583,1351,40
ENARQ,cubiculos,num,,,,,,26,,31,,31,30,,,,,,,
ENARQ,cubiculos,cap,,,,,,40,,58,,58,30,,,,,,,
ENARQ,cafeterias,num,,,,,,1,,1,,,,,,,,,,
ENARQ,cafeterias,cap,,,,,,56,,56,,,,,,,,,,
ENARQ,oficinas administrativas,num,,,,,,16,,20,,,,,,,,,,
ENARQ,oficinas administrativas,cap,,,,,,47,,98,,,,,,,,,,
ENEO,Salones de clase,num,6,6,6,6,,5,,5,,13,13,13,13,13,20,19,20,
ENEO,Salones de clase,cap,334,371,371,371,,220,,220,,719,715,715,715,715,1000,1114,1200,
ENEO,bibliotecas,num,1,1,1,1,,1,,1,,1,1,,,,1,1,1,
ENEO,bibliotecas,cap,28,30,30,30,,40,,49,,49,80,,,,40,40,50,
ENEO,auditorios,num,,1,1,1,,1,,,,1,1,,,,,,,
ENEO,auditorios,cap,,50,50,50,,80,,,,100,120,,,,,,,
ENEO,laboratorios,num,3,3,3,3,,2,,4,,6,5,5,5,6,5,5,5,
ENEO,laboratorios,cap,200,108,108,108,,120,,172,,252,250,,,,350,300,300,
ENEO,talleres de docencia,num,,,,,,,,,,,,,,,1,,,
ENEO,talleres de docencia,cap,,,,,,,,,,,,,,,2,,,
ENEO,cubiculos,num,,,,,,,,1,,2,1,,,,,,,
ENEO,cubiculos,cap,,,,,,,,1,,10,3,,,,,,,
ENEO,cafeterias,num,,1,1,1,,,,1,,,,,,,,,,
ENEO,cafeterias,cap,,50,50,50,,,,60,,,,,,,,,,
ENEO,oficinas administrativas,num,,,,,,8,,10,,,,,,,,,,
ENEO,oficinas administrativas,cap,,,,,,23,,38,,,,,,,,,,
ENM,Salones de clase,num,25,26,26,26,,30,,37,,37,38,37,37,37,62,49,49,
ENM,Salones de clase,cap,423,430,430,430,,738,,1060,,1060,760,760,760,760,800,321,880,
ENM,bibliotecas,num,1,1,1,1,,1,,1,,1,1,,,,1,1,1,
ENM,bibliotecas,cap,30,30,30,30,,40,,46,,46,30,,,,40,40,30,
ENM,auditorios,num,1,1,1,1,,1,,1,,1,2,,,,,,,
ENM,auditorios,cap,119,107,107,107,,194,,200,,200,1000,,,,,,,
ENM,laboratorios,num,,,,,,2,,1,,2,1,1,1,1,1,2,1,
ENM,laboratorios,cap,,,,,,10,,4,,10,70,,,,5,20,10,
ENM,talleres de docencia,num,,,,,,,,,,,,,,,1,2,3,
ENM,talleres de docencia,cap,,,,,,,,,,,,,,,2,52,60,
ENM,cubiculos,num,,,,,,2,,2,,2,3,,,,,,,
ENM,cubiculos,cap,,,,,,4,,3,,3,6,,,,,,,
ENM,cafeterias,num,,,,,,,,,,,,,,,,,,
ENM,cafeterias,cap,,,,,,,,,,,,,,,,,,
ENM,oficinas administrativas,num,,,,,,4,,4,,,,,,,,,,
ENM,oficinas administrativas,cap,,,,,,18,,26,,,,,,,,,,
ENTS,Salones de clase,num,,,,,,,,,,,,,6,6,6,6,6,6
ENTS,Salones de clase,cap,,,,,,,,,,,,,360,367,330,330,360,360
ENTS,bibliotecas,num,,,,,,,,,,,,,,,1,1,1,
ENTS,bibliotecas,cap,,,,,,,,,,,,,,,65,72,200,
ENTS,auditorios,num,,,,,,,,,,,,,,,,,,
ENTS,auditorios,cap,,,,,,,,,,,,,,,,,,
ENTS,laboratorios,num,,,,,,,,,,,,,,,1,1,,
ENTS,laboratorios,cap,,,,,,,,,,,,,2,2,40,40,,
ENTS,talleres de docencia,num,,,,,,,,,,,,,,,1,1,2,
ENTS,talleres de docencia,cap,,,,,,,,,,,,,,,60,60,93,
ENTS,cubiculos,num,,,,,,,,,,,,,,,,,,
ENTS,cubiculos,cap,,,,,,,,,,,,,,,,,,
ENTS,cafeterias,num,,,,,,,,,,,,,,,,,,
ENTS,cafeterias,cap,,,,,,,,,,,,,,,,,,
ENTS,oficinas administrativas,num,,,,,,,,,,,,,,,,,,
ENTS,oficinas administrativas,cap,,,,,,,,,,,,,,,,,,
FC,Salones de clase,num,26,26,26,26,,26,,26,,26,31,31,25,45,47,86,55,53
FC,Salones de clase,cap,1002,1206,1206,1206,,1260,,1248,,1248,1481,1481,1557,1557,2921,3300,2267,2152
FC,bibliotecas,num,1,1,1,1,,2,,3,,2,1,,,,1,1,3,4
FC,bibliotecas,cap,61,132,132,132,,164,,174,,174,250,,,,300,304,328,275
FC,auditorios,num,2,2,2,2,,1,,1,,1,1,,,,,,,
FC,auditorios,cap,473,502,502,502,,478,,412,,412,400,,,,,,,
FC,laboratorios,num,21,24,24,24,,42,,42,,42,24,24,,49,51,43,78,105
FC,laboratorios,cap,74,944,944,944,,548,,548,,548,1200,,,,1512,1089,1943,3150
FC,talleres de docencia,num,3,,,,,2,,2,,,2,,,5,1,,2,2
FC,talleres de docencia,cap,60,,,,,12,,13,,,14,,,,13,,20,30
FC,cubiculos,num,6,15,15,15,,24,,28,,28,43,,,,,,,
FC,cubiculos,cap,96,64,64,64,,50,,60,,60,33,,,,,,,
FC,cafeterias,num,,1,1,1,,1,,,,,,,,,,,,
FC,cafeterias,cap,,32,32,32,,80,,,,,,,,,,,,
FC,oficinas administrativas,num,,,,,,12,,,,,,,,,,,,
FC,oficinas administrativas,cap,,,,,,45,,,,,,,,,,,,
FCPyS,Salones de clase,num,14,14,14,14,,14,,14,,14,35,25,25,25,35,37,35,35
FCPyS,Salones de clase,cap,810,833,833,833,,804,,876,,876,2622,1557,1557,1557,2672,2608,2496,2304
FCPyS,bibliotecas,num,1,1,1,1,,1,,1,,1,1,,,,1,2,1,1
FCPyS,bibliotecas,cap,33,36,36,36,,70,,71,,71,200,,,,110,180,200,284
FCPyS,auditorios,num,,,,,,,,,,,,,,,,,,
FCPyS,auditorios,cap,,,,,,,,,,,,,,,,,,
FCPyS,laboratorios,num,1,1,1,1,,1,,,,,,,,,,,1,
FCPyS,laboratorios,cap,27,60,60,60,,29,,,,,,,,,,,40,
FCPyS,talleres de docencia,num,,,,,,,,,,,2,,,,2,1,2,3
FCPyS,talleres de docencia,cap,,,,,,,,,,,70,,,,108,60,80,98
FCPyS,cubiculos,num,10,10,10,10,,15,,15,,15,29,,,,,,,
FCPyS,cubiculos,cap,10,10,10,10,,35,,35,,35,58,,,,,,,
FCPyS,cafeterias,num,,1,1,1,,1,,1,,,,,,,,,,
FCPyS,cafeterias,cap,,40,40,40,,60,,20,,,,,,,,,,
FCPyS,oficinas administrativas,num,,,,,,12,,12,,,,,,,,,,
FCPyS,oficinas administrativas,cap,,,,,,69,,69,,,,,,,,,,
FCyA,Salones de clase,num,48,48,48,49,,58,,114,,110,68,71,71,88,86,76,76,78
FCyA,Salones de clase,cap,3305,3400,3400,3579,,4021,,7740,,7722,4560,4680,4680,4680,6000,5768,5920,7410
FCyA,bibliotecas,num,1,1,1,1,,2,,2,,2,3,,,,1,1,2,1
FCyA,bibliotecas,cap,100,144,144,92,,206,,362,,362,314,,,,350,350,268,300
FCyA,auditorios,num,1,1,1,1,,1,,,,1,1,,,,,,,
FCyA,auditorios,cap,222,240,240,250,,204,,,,220,600,,,,,,,
FCyA,laboratorios,num,,,,,,,,,,,,,,2,1,1,,
