year,conta1,contb1,contc1,contd1,conta2,contb2,contc2,contd2
1959,docen_catt,docen_ayut,inv_tc,docen_ayut,docen_totalf,docen_catt,docen_ayut,docen_tct
1961,cap_laboratorios,cap_talleres_de_docencia,cap_auditorios,cap_Salones_de_clase,cap_talleres_de_docencia,cap_laboratorios,n,cap_auditorios
1962,cap_talleres_de_docencia,cap_talleres_de_docencia,cap_auditorios,cap_Salones_de_clase,cap_laboratorios,cap_laboratorios,n,n
1963,cap_talleres_de_docencia,cap_laboratorios,cap_auditorios,cap_Salones_de_clase,cap_laboratorios,cap_talleres_de_docencia,docen_totalf,n
1964,cap_talleres_de_docencia,cap_laboratorios,cap_Salones_de_clase,cap_auditorios,cap_laboratorios,cap_talleres_de_docencia,docen_catt,n
1965,cap_laboratorios,cap_talleres_de_docencia,cap_Salones_de_clase,n,cap_talleres_de_docencia,cap_Salones_de_clase,docen_totalf,cap_auditorios
1966,cap_laboratorios,cap_talleres_de_docencia,cap_talleres_de_docencia,n,n,cap_Salones_de_clase,docen_totalf,cap_talleres_de_docencia
1967,cap_laboratorios,cap_Salones_de_clase,cap_talleres_de_docencia,n,cap_Salones_de_clase,docen_totalf,cap_Salones_de_clase,cap_Salones_de_clase
1968,cap_laboratorios,cap_Salones_de_clase,cap_talleres_de_docencia,cap_auditorios,cap_Salones_de_clase,docen_totalf,cap_auditorios,cap_Salones_de_clase
1969,cap_laboratorios,cap_Salones_de_clase,cap_auditorios,cap_talleres_de_docencia,cap_Salones_de_clase,cap_talleres_de_docencia,cap_talleres_de_docencia,cap_auditorios
1970,cap_laboratorios,n,cap_auditorios,cap_talleres_de_docencia,cap_Salones_de_clase,cap_Salones_de_clase,docen_ayut,num_talleres_de_docencia
1971,cap_cubiculos,cap_laboratorios,cap_talleres_de_docencia,cap_Salones_de_clase,cap_laboratorios,cap_talleres_de_docencia,cap_laboratorios,cap_talleres_de_docencia
1972,cap_cubiculos,docen_catt,cap_talleres_de_docencia,cap_laboratorios,cap_laboratorios,cap_cubiculos,cap_auditorios,cap_cubiculos
1973,cap_cubiculos,cap_talleres_de_docencia,cap_talleres_de_docencia,cap_laboratorios,cap_laboratorios,n,cap_auditorios,cap_cubiculos
1974,cap_cubiculos,cap_talleres_de_docencia,cap_talleres_de_docencia,cap_laboratorios,cap_Salones_de_clase,n,cap_Salones_de_clase,cap_cubiculos
1975,cap_Salones_de_clase,cap_cubiculos,cap_talleres_de_docencia,cap_laboratorios,n,cap_laboratorios,cap_cubiculos,cap_auditorios
1976,cap_Salones_de_clase,cap_cubiculos,cap_cubiculos,cap_talleres_de_docencia,cap_laboratorios,cap_auditorios,cap_talleres_de_docencia,cap_laboratorios
1977,cap_Salones_de_clase,cap_cubiculos,cap_talleres_de_docencia,cap_cubiculos,cap_laboratorios,cap_talleres_de_docencia,cap_Salones_de_clase,cap_laboratorios
1978,cap_laboratorios,cap_laboratorios,cap_talleres_de_docencia,cap_cubiculos,cap_Salones_de_clase,cap_cubiculos,cap_Salones_de_clase,cap_laboratorios
1979,cap_Salones_de_clase,cap_talleres_de_docencia,cap_laboratorios,cap_cubiculos,n,cap_Salones_de_clase,cap_cubiculos,cap_laboratorios
