year,dep,eme_h,eme_m,tc_tit_t_h,tc_tit_t_m,tc_tit_a_h,tc_tit_a_m,tc_tit_b_h,tc_tit_b_m,tc_tit_c_h,tc_tit_c_m,mt_tit_a_h,mt_tit_a_m,mt_tit_b_h,mt_tit_b_m,mt_tit_c_h,mt_tit_c_m,tc_ass_a_h,tc_ass_a_m,tc_ass_b_h,tc_ass_b_m,tc_ass_c_h,tc_ass_c_m,mt_ass_a_h,mt_ass_a_m,mt_ass_b_h,mt_ass_b_m,mt_ass_c_h,mt_ass_c_m,cat_a_h,cat_a_m,cat_b_h,cat_b_m,cat_c_h,cat_c_m,ayu_a_h,ayu_a_m,ayu_b_h,ayu_b_m,ayu_c_h,ayu_c_m,ordcarr_h,ordcarr_m,teoprac_h,teoprac_m,instruc_h,instruc_m,conferenc_s,aycat_h,aycat_m,pasoc_h,pasoc_m,preplab_h,preplab_m,coord_h,coord_m,aylab_h,aylab_m,otros_h,otros_m,total_h,total_m
1960,ENA,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,67,,,,,46,3,,,,,,,,,,,,
1960,ENAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,,,,,,,,,,,,,,43,3,,
1960,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,,,,,,1,,,,9,4,,,,,,,,
1960,FCPyS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,8,,,,,,,,,,,,,,,,5,2,,
1960,ENCQ,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,49,6,,,,1,1,,,4,,,,75,44,,,,
1960,ENCA,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,18,,,,,,,,,,,,,,,,11,,,
1960,FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,7,,,,,,17,3,,,,,,,,,7,1,,
1960,ENE,,,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,7,,,,,,23,1,,,,,,,,,1,,,
1960,ENEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,12,,,,,,6,5,,,,,,,,,,7,,
1960,FFyL,,,21,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,23,,,,,,,,,,,,,,,,,,,
1960,ENI,,,6,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,2,,,,,,39,1,,,13,,,,,,,,,
1960,ENMed,,,20,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,1,242,5,231,5,15,29,1,28,2,7,2,40,2,,,260,5,,
1960,ENMúsica,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,27,,,,,,4,5,,,,,,,,,,,,
1960,ENO,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,46,,,,,51,2,,,,,,,,,2,,,
1960,ENMVZ,,,3,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,,,,,,,,,,,,,,,,,,,
1960,ENP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,277,,,,,,,,,,50,15,,,,,33,12,,
1962,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,29
1962,FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,14
1962,FFyL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,29
1962,FI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,4
1962,FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124,71
1962,ENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,12
1962,ENAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,5
1962,FCPyS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,17
1962,ENCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,59
1962,ENCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,20
1962,ENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20
1962,ENEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,27
1962,ENMVZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,11
1962,ENM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,26
1962,ENO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,11
1962,ENP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442,476
1963,FC,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,FD,2,,,,4,,,1,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,FFyL,3,,,,10,1,8,5,1,4,3,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,FI,,,,,8,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,FM,,,,,13,1,5,,4,,10,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,ENA,2,,,,,,,,,,4,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
