general,year,emet,tct,mtt,catt,ayut,tect,totalf,eme_f,tc_f,mt_f,cat_f,ayu_f,total_f
biblioteca nacional,1971,0,1,0,1,0,0,2,0,1,0,1,0,1
biblioteca nacional,1972,0,0,0,1,0,0,1,0,0.875,0,1,0,1
biblioteca nacional,1973,0,0,0,2,0,0,2,0,0.75,0,1,0,1
biblioteca nacional,1974,0,0,0,3,0,0,3,0,0.625,0,0.6666666666666666,0,0.6666666666666666
biblioteca nacional,1975,0,0,0,2,0,0,2,0,0.5,0,1,0,1
biblioteca nacional,1976,0,0,0,2,0,0,2,0,0.375,0,0.5,0,0.5
biblioteca nacional,1977,0,0,0,1,0,0,1,0,0.25,0,1,0,1
biblioteca nacional,1978,0,0,0,2,3,0,5,0,0.125,0,0.5,0,0.2
biblioteca nacional,1979,0,2,0,3,0,0,5,0,0,0,0.3333333333333333,0,0.2
cch,1971,0,0,0,887,0,0,887,0,0.2857142857142857,0.5,0.19729425028184894,0.5,0.19729425028184894
cch,1972,0,7,2,842,2,0,853,0,0.2857142857142857,0.5,0.2755344418052256,0.5,0.27667057444314186
cch,1973,0,14,3,797,3,0,817,0,0.2857142857142857,0.6666666666666666,0.36386449184441655,0.6666666666666666,0.36474908200734396
cch,1974,0,14,3,1583,0,0,1600,0,0.6428571428571429,0,0.3474415666456096,0.3958333333333333,0.349375
cch,1975,0,56,3,1567,8,0,1634,0,0.21428571428571427,0.6666666666666666,0.3631142310146777,0.125,0.3574051407588739
cch,1976,0,13,0,1666,44,0,1723,0,0,0.6666666666666666,0.39315726290516206,0.2727272727272727,0.3871154962275102
cch,1977,0,0,0,1544,69,0,1613,0,0.13636363636363635,0.6666666666666666,0.3335492227979275,0.2028985507246377,0.32796032238065714
cch,1978,0,11,0,1575,56,0,1642,0,0.2727272727272727,0.6666666666666666,0.35873015873015873,0.23214285714285715,0.353836784409257
cch,1979,0,4,0,1598,53,0,1655,0,0.25,0.6666666666666666,0.3660826032540676,0.32075471698113206,0.36435045317220544
cch,1980,0,2,0,2131,23,0,2156,0,0,0.6666666666666666,0.29516658845612387,0.17391304347826086,0.29359925788497215
cele,1970,0,1,0,19,0,0,20,0,1,0.5,0.7894736842105263,0,0.8
cele,1971,0,0,0,16,0,0,16,0,0.5,0.5,0.9375,0,0.9375
cele,1972,0,1,0,46,0,0,47,0,0,0.5,0.717391304347826,0,0.7021276595744681
