dep,year,emerito,tc,mt,a,b,ayu,contrato,catedra,tecnico,totdocen
Escuela nacional de arquitectura,1931,,,,,,,,,,33
Escuela nacional de arquitectura,1932,,,,,,,,,,34
Escuela nacional de arquitectura,1933,,,,,,,,,,32
Escuela nacional de arquitectura,1934,,,,,,,,,,36
Escuela nacional de arquitectura,1935,,,,,,,,,,34
Escuela nacional de arquitectura,1936,,,,,,,,,,33
Escuela nacional de arquitectura,1937,,,,,,,,,,33
Escuela nacional de arquitectura,1938,,,,,,,,,,35
Escuela nacional de arquitectura,1939,,,,,,,,,,44
Escuela nacional de arquitectura,1940,,,,,,,,,,46
Escuela nacional de arquitectura,1941,,,,,,,,,,47
Escuela nacional de arquitectura,1942,,,,,,,,,,52
Escuela nacional de arquitectura,1943,,,,,,,,,,62
Escuela nacional de arquitectura,1944,,,,,,,,,,66
Escuela nacional de arquitectura,1945,,,,,,,,,,94
Escuela nacional de arquitectura,1946,,,,,,,,,,89
Escuela nacional de arquitectura,1947,,,,,,,,,,110
Escuela nacional de arquitectura,1948,,,,,,,,,,114
Escuela nacional de arquitectura,1949,,,,,,,,,,153
Escuela nacional de arquitectura,1950,,,,,,,,,,147
Escuela nacional de arquitectura,1951,,,,,,,,,,157
Escuela nacional de arquitectura,1952,,,,,,,,,,157
Escuela nacional de arquitectura,1953,,,,,,,,,,172
Escuela nacional de arquitectura,1954,,,,,,,,,,231
Escuela nacional de arquitectura,1955,,,,,,,,,,251
Escuela nacional de arquitectura,1956,,,,,,,,,,205
Escuela nacional de arquitectura,1957,,,,,,,,,,376
Escuela nacional de arquitectura,1958,,,,,,,,,,376
Escuela nacional de arquitectura,1959,,,41,,,49,,123,,213
Escuela nacional de arquitectura,1960,1,,31,,,218,,174,,424
Escuela nacional de arquitectura,1961,,,,,,,,,,425
Escuela nacional de arquitectura,1962,,,,,,,,,,373
Escuela nacional de arquitectura,1963,2,,30,,,,,387,,419
Escuela nacional de arquitectura,1964,2,,25,,,,,359,,386
Escuela nacional de arquitectura,1965,2,1,24,,,,,410,,437
Escuela nacional de arquitectura,1966,2,,26,,,,,378,,406
Escuela nacional de arquitectura,1967,2,,22,,,,,456,,480
Escuela nacional de arquitectura,1968,3,,24,,,,,459,,486
Escuela nacional de arquitectura,1969,4,19,4,,,,17,482,,526
Escuela nacional de arquitectura,1970,2,,22,,,,1,563,,588
Escuela nacional de arquitectura,1971,2,,22,404,151,45,16,,,640
Escuela nacional de arquitectura,1972,2,,,420,141,62,13,,,638
Escuela nacional de arquitectura,1973,2,2,28,4001,148,52,12,,,645
Escuela nacional de arquitectura,1974,2,1,23,412,132,51,17,,,638
Escuela nacional de arquitectura,1975,2,3,19,491,131,64,16,,,726
Escuela nacional de arquitectura,1976,1,2,19,428,117,68,11,,,640
Escuela nacional de arquitectura,1977,1,11,22,357,253,38,9,,3,694
Escuela nacional de arquitectura,1978,1,11,21,372,256,42,8,,4,715
Escuela nacional de arquitectura,1979,1,11,24,412,258,47,5,,4,762
Escuela nacional de arquitectura,1980,,,,,,,,,,
Escuela nacional de arquitectura,1981,,,,,,,,,,
Escuela nacional de arquitectura,1982,,,,,,,,,,
Escuela nacional de arquitectura,1983,,,,,,,,,,
Escuela nacional de arquitectura,1984,,,,,,,,,,
Escuela nacional de arquitectura,1985,,,,,,,,,,
Escuela nacional de arquitectura,1986,,,,,,,,,,
Escuela nacional de arquitectura,1987,,,,,,,,,,
Escuela nacional de arquitectura,1988,,,,,,,,,,
Escuela nacional de arquitectura,1989,,,,,,,,,,
Escuela nacional de arquitectura,1990,,,,,,,,,,
Escuela nacional de arquitectura,1991,,,,,,,,,,
Escuela nacional de arquitectura,1992,,,,,,,,,,
Escuela nacional de arquitectura,1993,,,,,,,,,,
Escuela nacional de arquitectura,1994,,,,,,,,,,
Escuela nacional de arquitectura,1995,,,,,,,,,,
Escuela nacional de arquitectura,1996,,,,,,,,,,
Escuela nacional de arquitectura,1997,,,,,,,,,,
ENAP,1931,,,,,,,,,,45
ENAP,1932,,,,,,,,,,37
ENAP,1933,,,,,,,,,,39
ENAP,1934,,,,,,,,,,10
ENAP,1935,,,,,,,,,,22
ENAP,1936,,,,,,,,,,34
ENAP,1937,,,,,,,,,,44
ENAP,1938,,,,,,,,,,53
ENAP,1939,,,,,,,,,,52
ENAP,1940,,,,,,,,,,51
ENAP,1941,,,,,,,,,,49
ENAP,1942,,,,,,,,,,63
ENAP,1943,,,,,,,,,,50
ENAP,1944,,,,,,,,,,50
ENAP,1945,,,,,,,,,,54
ENAP,1946,,,,,,,,,,53
ENAP,1947,,,,,,,,,,55
ENAP,1948,,,,,,,,,,55
ENAP,1949,,,,,,,,,,56
ENAP,1950,,,,,,,,,,56
ENAP,1951,,,,,,,,,,59
ENAP,1952,,,,,,,,,,60
ENAP,1953,,,,,,,,,,63
ENAP,1954,,,,,,,,,,76
ENAP,1955,,,,,,,,,,92
ENAP,1956,,,,,,,,,,94
ENAP,1957,,,,,,,,,,110
ENAP,1958,,,,,,,,,,99
ENAP,1959,,,,,,46,,16,,62
ENAP,1960,,,,,,,,110,,110
ENAP,1961,,,,,,,,,,76
ENAP,1962,,,,,,,,,,78
ENAP,1963,,,,,,,,,,75
ENAP,1964,,,,,,,,,,78
ENAP,1965,,,,,,,,69,,69
ENAP,1966,,,,,,,,67,,67
ENAP,1967,,,,,,,,71,,71
ENAP,1968,,,,,,,,70,,70
ENAP,1969,,,,,,,,66,,66
ENAP,1970,,,,,,,,68,,68
ENAP,1971,,,,35,33,4,,,,72
ENAP,1972,,,,43,34,4,,,,81
ENAP,1973,,,,37,38,4,,,,79
ENAP,1974,,1,,54,36,5,,,,96
ENAP,1975,,,,51,36,6,,,,93
ENAP,1976,,,,58,33,18,,,,109
ENAP,1977,,,,57,36,22,,,,115
ENAP,1978,,1,,50,34,21,,,,106
ENAP,1979,,2,,64,37,27,,,,130
ENAP,1980,,,,,,,,,,
ENAP,1981,,,,,,,,,,
ENAP,1982,,,,,,,,,,
ENAP,1983,,,,,,,,,,
ENAP,1984,,,,,,,,,,
ENAP,1985,,,,,,,,,,
ENAP,1986,,,,,,,,,,
ENAP,1987,,,,,,,,,,
ENAP,1988,,,,,,,,,,
ENAP,1989,,,,,,,,,,
ENAP,1990,,,,,,,,,,
ENAP,1991,,,,,,,,,,
ENAP,1992,,,,,,,,,,
ENAP,1993,,,,,,,,,,
ENAP,1994,,,,,,,,,,
ENAP,1995,,,,,,,,,,
ENAP,1996,,,,,,,,,,
ENAP,1997,,,,,,,,,,
Facultad de Ciencias,1931,,,,,,,,,,
Facultad de Ciencias,1932,,,,,,,,,,
Facultad de Ciencias,1933,,,,,,,,,,
Facultad de Ciencias,1934,,,,,,,,,,
Facultad de Ciencias,1935,,,,,,,,,,
Facultad de Ciencias,1936,,,,,,,,,,17
Facultad de Ciencias,1937,,,,,,,,,,27
Facultad de Ciencias,1938,,,,,,,,,,33
Facultad de Ciencias,1939,,,,,,,,,,59
Facultad de Ciencias,1940,,,,,,,,,,60
Facultad de Ciencias,1941,,,,,,,,,,63
Facultad de Ciencias,1942,,,,,,,,,,47
Facultad de Ciencias,1943,,,,,,,,,,59
Facultad de Ciencias,1944,,,,,,,,,,66
Facultad de Ciencias,1945,,,,,,,,,,71
Facultad de Ciencias,1946,,,,,,,,,,84
Facultad de Ciencias,1947,,,,,,,,,,59
Facultad de Ciencias,1948,,,,,,,,,,71
Facultad de Ciencias,1949,,,,,,,,,,67
Facultad de Ciencias,1950,,,,,,,,,,69
Facultad de Ciencias,1951,,,,,,,,,,69
Facultad de Ciencias,1952,,,,,,,,,,77
Facultad de Ciencias,1953,,,,,,,,,,78
Facultad de Ciencias,1954,,,,,,,,,,83
Facultad de Ciencias,1955,,,,,,,,,,85
Facultad de Ciencias,1956,,,,,,,,,,92
Facultad de Ciencias,1957,,,,,,,,,,124
Facultad de Ciencias,1958,,,,,,,,,,127
Facultad de Ciencias,1959,,,,,,1,,97,,98
Facultad de Ciencias,1960,,,,,,3,,165,,168
Facultad de Ciencias,1961,,,,,,,,,,159
Facultad de Ciencias,1962,,,,,,,,,,162
Facultad de Ciencias,1963,,,,,,,,,,173
Facultad de Ciencias,1964,,,,,,,,,,178
Facultad de Ciencias,1965,,3,,,,,,165,,168
Facultad de Ciencias,1966,,4,,,,,,247,,251
Facultad de Ciencias,1967,,16,,,,,,341,,357
Facultad de Ciencias,1968,,14,5,,,,,372,,391
Facultad de Ciencias,1969,,15,5,,,,1,327,,348
Facultad de Ciencias,1970,,21,12,,,,8,458,,499
Facultad de Ciencias,1971,,12,6,98,23,231,9,,,379
Facultad de Ciencias,1972,,21,8,125,23,257,2,,,436
Facultad de Ciencias,1973,,24,17,118,26,290,2,,,477
Facultad de Ciencias,1974,,35,15,145,,339,2,,,536
Facultad de Ciencias,1975,,30,12,173,50,432,2,,2,701
Facultad de Ciencias,1976,,26,9,163,62,485,2,,2,749
Facultad de Ciencias,1977,,39,8,175,62,476,3,,12,775
Facultad de Ciencias,1978,,46,10,208,59,495,2,,,820
Facultad de Ciencias,1979,,97,7,243,37,556,1,,29,970
Facultad de Ciencias,1980,,,,,,,,,,
Facultad de Ciencias,1981,,,,,,,,,,
Facultad de Ciencias,1982,,,,,,,,,,
Facultad de Ciencias,1983,,,,,,,,,,
Facultad de Ciencias,1984,,,,,,,,,,
Facultad de Ciencias,1985,,,,,,,,,,
Facultad de Ciencias,1986,,,,,,,,,,
Facultad de Ciencias,1987,,,,,,,,,,
Facultad de Ciencias,1988,,,,,,,,,,
Facultad de Ciencias,1989,,,,,,,,,,
Facultad de Ciencias,1990,,,,,,,,,,
Facultad de Ciencias,1991,,,,,,,,,,
Facultad de Ciencias,1992,,,,,,,,,,
Facultad de Ciencias,1993,,,,,,,,,,
Facultad de Ciencias,1994,,,,,,,,,,
Facultad de Ciencias,1995,,,,,,,,,,
Facultad de Ciencias,1996,,,,,,,,,,
Facultad de Ciencias,1997,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1931,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1932,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1933,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1934,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1935,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1936,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1937,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1938,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1939,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1940,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1941,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1942,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1943,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1944,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1945,,,,,,,,,,
Facultad de ciencias Políticas y Sociales,1946,,,,,,,,,,
