general,year,admin_conf,admin_espe,admin_serv,admin_obre,admin_admin,admin_auxadm,admin_prof,admin_total,admin_conf_f,admin_espe_f,admin_serv_f,admin_obre_f,admin_admin_f,admin_auxadm_f,admin_prof_f,admin_total_f,docen_emet,docen_tct,docen_mtt,docen_catt,docen_ayut,docen_tect,docen_totalf,docen_eme_f,docen_tc_f,docen_mt_f,docen_cat_f,docen_ayu_f,docen_total_f,inv_tc,inv_ay,inv_eme,inv_mt,inv_tec,inv_total,inv_tc_f,inv_ay_f,inv_eme_f,inv_mt_f,inv_tec_f,inv_total_f,n,fem,pert,perm,pern,num_Salones_de_clase,cap_Salones_de_clase,num_bibliotecas,cap_bibliotecas,num_auditorios,cap_auditorios,num_laboratorios,cap_laboratorios,num_talleres_de_docencia,cap_talleres_de_docencia,num_cubiculos,cap_cubiculos,num_cafeterias,cap_cafeterias,num_oficinas_administrativas,cap_oficinas_administrativas
enap,1959,6,10,25,6,14,31,1,48,0.5,0.1,0,0,0.2857142857142857,0,0,0.08333333333333333,0,0,0,110,0,0,110,0,0,0,0.04545454545454545,0,0.04545454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240,0.1064516129032258,0.5,0.5,0.7142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enap,1961,1,18,25,5,14,31,1,69,0,0.05555555555555555,0,0,0.2857142857142857,0,0,0.07246376811594203,0,0,0,115,3,0,118,0,0,0,0.0522068511198946,0,0.05121419676214196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1480,0.16486486486486487,0.5,0.5,0.7142857142857143,16,461,1,50,1,110,1,10,43,1086,5,69,0,0,4,13
enap,1962,2,18,25,5,16,32,1,73,0,0.05555555555555555,0,0,0.3125,0,0,0.0821917808219178,0,0,0,100,3,0,103,0,0,0,0.05895915678524374,0,0.05697384806973848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1552,0.15979381443298968,0.5,0.5,0.7142857142857143,16,461,1,50,1,110,1,10,38,963,5,69,0,0,4,13
enap,1963,2,16,25,6,15,32,1,71,0,0.0625,0,0,0.4,0.03125,0,0.11267605633802816,0,0,0,84,4,0,88,0,0,0,0.0657114624505929,0,0.062733499377335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444,0.16897506925207756,0.5,0.5,0.7142857142857143,16,461,1,50,1,110,1,10,38,963,5,69,0,0,4,13
enap,1964,2,19,25,5,16,33,1,75,0,0.10526315789473684,0,0,0.3125,0.06060606060606061,0,0.12,0,0,0,69,4,0,73,0,0,0,0.07246376811594203,0,0.0684931506849315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1630,0.1803680981595092,0.5,0.5,0.7142857142857143,16,461,1,50,1,110,1,10,38,963,5,69,0,0,4,13
enap,1965,1,17,25,6,11,39,1,74,0,0.17647058823529413,0,0,0.3636363636363637,0.05128205128205128,0,0.12162162162162164,0,0,0,67,3,0,70,0,0,0,0.1044776119402985,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1798,0.1835372636262514,0.5,0.5,0.7142857142857143,10,346,1,51,1,130,2,21,26,726,5,69,0,0,4,13
enap,1966,1,20,25,6,12,31,1,63,0,0.15,0,0,0.3333333333333333,0,0,0.1111111111111111,0,0,0,71,3,0,74,0,0,0,0.11267605633802816,0,0.10810810810810811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,0.1928571428571429,0.5,0.5,0.7142857142857143,5,230,1,52,1,149,2,33,13,490,5,69,0,0,4,13
enap,1967,2,19,25,6,8,34,1,67,0,0.21052631578947367,0,0,0.5,0.02941176470588235,0,0.13432835820895522,0,0,0,70,4,0,74,0,0,0,0.08571428571428572,0,0.08108108108108109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1588,0.20151133501259447,0.5,0.5,0.7142857142857143,26,654,1,52,1,169,3,44,13,348,5,69,0,0,4,13
enap,1968,2,16,25,6,16,32,1,72,0,0.1875,0,0,0.3125,0.0625,0,0.1388888888888889,0,0,0,66,1,0,67,0,0,0,0.06060606060606061,0,0.05970149253731343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360,0.22205882352941175,0.5036764705882353,0.5066225165562914,0.4444444444444444,47,1078,1,52,2,188,3,56,13,205,5,69,0,0,4,13
enap,1969,3,18,25,7,14,31,1,73,0.3333333333333333,0.2222222222222222,0,0,0.42857142857142855,0.06451612903225806,0,0.1780821917808219,0,0,0,68,5,0,73,0,0,0,0.01470588235294117,0,0.0136986301369863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995,0.20402010050251257,0.5035175879396985,0.49261083743842365,0.42857142857142855,47,1078,1,52,2,208,4,67,58,205,5,69,0,0,4,13
