general,year,tc,ay,eme,mt,tec,total,tc_f,ay_f,eme_f,mt_f,tec_f,total_f
biblioteca nacional,1960,8,1,0,1,0,8,0,1,0,0,0,0
biblioteca nacional,1962,4,1,0,1,0,4,0,1,0,0,0,0
biblioteca nacional,1963,2,1,0,1,0,3,0,1,0,0,0,0
biblioteca nacional,1964,4,1,0,2,0,6,0,1,0,0.5,0,0.16666666666666666
biblioteca nacional,1965,4,1,0,1,0,5,0,1,0,1,0,0.2
biblioteca nacional,1966,7,1,0,1,0,8,0.42857142857142855,1,0,1,0,0.5
biblioteca nacional,1967,4,1,0,3,0,7,0.25,1,0,0,0,0.14285714285714285
biblioteca nacional,1968,2,1,0,4,0,6,0,1,0,0.25,0,0.16666666666666666
biblioteca nacional,1969,4,1,0,6,0,10,0.25,1,0,0.3333333333333333,0,0.3
biblioteca nacional,1970,4,1,0,6,0,10,0,1,0,0.3333333333333333,0,0.3
biblioteca nacional,1971,5,1,0,6,0,11,0,1,0,0.5,0,0.2727272727272727
biblioteca nacional,1972,5,1,0,7,0,12,0.2,1,0,0.42857142857142855,0,0.3333333333333333
biblioteca nacional,1973,5,1,0,7,0,12,0.2,1,0,0.42857142857142855,0,0.3333333333333333
biblioteca nacional,1974,5,1,0,5,0,11,0.2,1,0,0.4,0,0.36363636363636365
biblioteca nacional,1975,6,1,0,5,0,12,0.5,1,0,0.4,0,0.5
biblioteca nacional,1976,5,1,0,8,0,13,0.2,1,0,0.375,0,0.3076923076923077
biblioteca nacional,1977,9,1,0,5,0,15,0.4444444444444444,1,0,0.2,0,0.4
biblioteca nacional,1978,7,2,0,6,0,15,0.42857142857142855,0.5,0,0.3333333333333333,0,0.4
biblioteca nacional,1979,9,4,0,4,0,17,0.5555555555555556,0.25,0,0.5,0,0.47058823529411764
cch,1975,2,0,0,0,1,2,0,0,0,0,0,0
cch,1976,2,0,0,0,1,2,0,0,0,0,0,0
cch,1977,3,0,0,0,1,3,0.3333333333333333,0,0,0,0,0.3333333333333333
cch,1978,1,0,0,0,1,1,0,0,0,0,0,0
cch,1979,1,0,0,0,1,1,0,0,0,0,0,0
cele,1977,1,1,0,1,0,2,1,1,0,0,0,1
cele,1978,1,1,0,1,0,3,1,1,0,0,0,0.6666666666666666
centro de ciencias de la atmosfera,1977,1,1,0,1,4,1,0,0,0,0,0.5,0
centro de ciencias de la atmosfera,1978,8,1,0,1,4,2,0,0,0,0,0.5,0
centro de ciencias de la atmosfera,1979,16,5,0,3,4,28,0,0.2,0,0.3333333333333333,0.5,0.14285714285714285
centro de ciencias de la tierra,1974,1,1,0,0,1,2,0,0,0,0,0,0
centro de ciencias de la tierra,1975,2,3,0,0,1,5,0,0,0,0,0,0
centro de ciencias de la tierra,1976,3,1,0,0,1,5,0,0,0,0,0,0
centro de ciencias de la tierra,1977,2,2,0,0,1,5,0,0,0,0,0,0
