point,meancont,contdiso,contdisp
enap,16.83667980022258,16.83667980022258,9.158088421180288
eneo,0.7280137737270732,0.728013773727073,1.0282663957785674
enep acatlan,2.9881590220385816,2.9881590220385825,3.4165618194144063
enep aragon,1.5987830485047265,1.5987830485047267,1.939215827298548
enep cuautitlan,2.4008593277090906,2.4008593277090906,2.533233864227915
enep iztacala,3.3184715693786746,3.3184715693786755,3.6119170080173193
enep zaragoza,1.916988186290809,1.9169881862908094,2.257375027594677
ents,0.3442803198987741,0.34428031989877383,0.43221360544726767
escuela nacional de musica,2.7206977286365537,2.720697728636554,2.04695164220708
facultad de arquitectura,7.112456405568553,7.112456405568558,8.467039088940078
facultad de ciencias,3.5771443269703753,3.5771443269703753,5.2420623273564235
facultad de contaduria y administracion,4.813606007526915,4.813606007526916,7.008321287151169
facultad de derecho,4.021447245178629,4.02144724517863,5.966564275793917
facultad de economia,2.0054774819695296,2.0054774819695296,2.7648386352633554
facultad de ingenieria,4.182233379434891,4.1822333794348925,8.18556355730226
facultad de medicina,10.879937549045714,10.879937549045716,14.612046932546162
facultad de psicologia,0.3844273390444899,0.38442733904449,1.4049364145719623
facultad de quimica,13.261446157638588,13.261446157638591,10.669471515681769
fcpys,0.772131770684096,0.7721317706840962,1.7467892776126046
ffyl,8.668202606302687,8.66820260630269,6.188482023077742
fmvz,2.7619817037207652,2.7619817037207657,2.839788007304928
fo,13.755828248973483,13.755828248973486,9.29654339036337
