general,year,admin_conf,admin_espe,admin_serv,admin_obre,admin_admin,admin_auxadm,admin_prof,admin_total,admin_conf_f,admin_espe_f,admin_serv_f,admin_obre_f,admin_admin_f,admin_auxadm_f,admin_prof_f,admin_total_f,docen_emet,docen_tct,docen_mtt,docen_catt,docen_ayut,docen_tect,docen_totalf,docen_eme_f,docen_tc_f,docen_mt_f,docen_cat_f,docen_ayu_f,docen_total_f,inv_tc,inv_ay,inv_eme,inv_mt,inv_tec,inv_total,inv_tc_f,inv_ay_f,inv_eme_f,inv_mt_f,inv_tec_f,inv_total_f
biblioteca nacional,1971,2,66,14,0,73,36,1,177,0,0.348484848,0,0,0.479452055,0,0,0.327683616,0,1,0,1,0,0,2,0,1,0,1,0,1,5,1,0,6,0,11,0,1,0,0.5,0,0.272727273
biblioteca nacional,1972,2,66,14,0,74,41,1,183,0,0.287878788,0,0,0.5,0,0,0.306010929,0,0,0,1,0,0,1,0,0.875,0,1,0,1,5,1,0,7,0,12,0.2,1,0,0.428571429,0,0.333333333
biblioteca nacional,1973,1,66,14,0,70,41,1,179,0,0.348484848,0,0,0.457142857,0.024390244,0,0.312849162,0,0,0,2,0,0,2,0,0.75,0,1,0,1,5,1,0,7,0,12,0.2,1,0,0.428571429,0,0.333333333
biblioteca nacional,1974,2,62,14,0,61,25,7,157,0,0.387096774,0,0,0.37704918,0.04,0.571428571,0.331210191,0,0,0,3,0,0,3,0,0.625,0,0.666666667,0,0.666666667,5,1,0,5,0,11,0.2,1,0,0.4,0,0.363636364
biblioteca nacional,1975,2,51,14,0,114,18,8,193,0,0.411764706,0,0,0.315789474,0.055555556,0.5,0.321243523,0,0,0,2,0,0,2,0,0.5,0,1,0,1,6,1,0,5,0,12,0.5,1,0,0.4,0,0.5
biblioteca nacional,1976,2,61,14,0,91,30,14,198,0,0.393442623,0,0,0.307692308,0,0.357142857,0.287878788,0,0,0,2,0,0,2,0,0.375,0,0.5,0,0.5,5,1,0,8,0,13,0.2,1,0,0.375,0,0.307692308
biblioteca nacional,1977,1,53,14,0,106,29,15,204,0,0.320754717,0,0,0.386792453,0.034482759,0.2,0.303921569,0,0,0,1,0,0,1,0,0.25,0,1,0,1,9,1,0,5,0,15,0.444444444,1,0,0.2,0,0.4
biblioteca nacional,1978,2,56,14,0,105,31,16,210,0,0.321428571,0,0,0.380952381,0.032258065,0.3125,0.304761905,0,0,0,2,3,0,5,0,0.125,0,0.5,0,0.2,7,2,0,6,0,15,0.428571429,0.5,0,0.333333333,0,0.4
biblioteca nacional,1979,1,78,14,0,78,32,17,206,1,0.423076923,0,0,0.333333333,0,0.294117647,0.315533981,0,2,0,3,0,0,5,0,0,0,0.333333333,0,0.2,9,4,0,4,0,17,0.555555556,0.25,0,0.5,0,0.470588235
cch,1975,86,252,0,59,464,374,28,1263,0.313953488,0.047619048,0,0,0.543103448,0.219251337,0.5,0.306413302,0,56,3,1567,8,0,1634,0,0.214285714,0.666666667,0.363114231,0.125,0.357405141,2,0,0,0,1,2,0,0,0,0,0,0
cch,1976,93,320,0,74,383,444,40,1354,0.225806452,0.075,0,0,0.678851175,0.220720721,0.5,0.312407681,0,13,0,1666,44,0,1723,0,0,0.666666667,0.393157263,0.272727273,0.387115496,2,0,0,0,1,2,0,0,0,0,0,0
cch,1977,103,374,0,87,403,467,34,1468,0.359223301,0.07486631,0,0,0.684863524,0.218415418,0.470588235,0.3126703,0,0,0,1544,69,0,1613,0,0.136363636,0.666666667,0.333549223,0.202898551,0.327960322,3,0,0,0,1,3,0.333333333,0,0,0,0,0.333333333
cch,1978,132,195,0,89,642,502,34,1594,0.363636364,0.123076923,0,0,0.563862928,0.239043825,0.529411765,0.358845671,0,11,0,1575,56,0,1642,0,0.272727273,0.666666667,0.358730159,0.232142857,0.353836784,1,0,0,0,1,1,0,0,0,0,0,0
cch,1979,182,441,0,107,427,571,48,1776,0.357142857,0.117913832,0,0,0.803278689,0.274956217,0.4375,0.359234234,0,4,0,1598,53,0,1655,0,0.25,0.666666667,0.366082603,0.320754717,0.364350453,1,0,0,0,1,1,0,0,0,0,0,0
cele,1977,3,12,0,0,12,12,2,39,0.666666667,0.166666667,0,0,0.5,0.166666667,0.5,0.307692308,0,4,0,47,0,0,51,0,0.25,0.5,0.659574468,0,0.62745098,1,1,0,1,0,2,1,1,0,0,0,1
cele,1978,4,11,0,0,20,15,3,53,0.75,0.090909091,0,0,0.55,0.2,0.666666667,0.377358491,0,6,0,64,0,0,70,0,0.333333333,0.5,0.609375,0,0.585714286,1,1,0,1,0,3,1,1,0,0,0,0.666666667
centro de ciencias del mar y limnologia,1975,2,3,0,1,13,2,3,23,0,0,0,0,0.307692308,0.5,0,0.217391304,0,0,0,6,1,0,7,0,0,0,0,0,0,12,2,0,1,1,16,0.083333333,0,0,0,0,0.0625
centro de ciencias del mar y limnologia,1976,8,6,0,1,19,21,3,57,0.125,0.166666667,0,0,0.473684211,0.095238095,0,0.228070175,0,0,0,7,1,0,8,0,0,0,0.142857143,0,0.125,20,1,0,1,9,31,0.15,0,0,0,0.444444444,0.225806452
centro de ciencias del mar y limnologia,1977,7,4,0,1,19,30,3,63,0.285714286,0,0,0,0.473684211,0.066666667,0,0.206349206,0,0,0,7,1,0,8,0,0,0,0.142857143,0,0.125,23,1,0,1,14,39,0.086956522,0,0,0,0.285714286,0.153846154
centro de ciencias del mar y limnologia,1978,7,7,0,1,25,33,3,75,0.285714286,0,0,0,0.52,0.090909091,0,0.24,0,0,0,6,1,0,7,0,0,0,0.166666667,0,0.142857143,24,2,0,1,11,37,0.083333333,0,0,0,0.363636364,0.162162162
centro de ciencias del mar y limnologia,1979,7,8,0,1,23,33,2,74,0.428571429,0,0,0,0.608695652,0.090909091,0,0.27027027,0,0,0,5,0,0,5,0,0,0,0.4,0,0.4,38,2,0,1,5,45,0.026315789,0,0,0,0.2,0.044444444
centro de estudios clasicos,1974,1,1,0,0,1,4,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,6,3,0,3,1,10,0.166666667,0.666666667,0,0.333333333,1,0.3
centro de estudios clasicos,1975,1,1,0,0,2,4,0,2,0,0,0,0,1,1,0,1,0,0,0,2,0,0,2,0,0,0,0.5,0,0.5,7,5,0,1,1,14,0.142857143,0.8,0,1,0,0.428571429
centro de estudios clasicos,1976,1,1,0,0,2,4,0,2,0,0,0,0,1,1,0,1,0,0,0,3,0,0,3,0,0,0,0.666666667,0,0.666666667,8,5,0,2,1,11,0.125,0.8,0,0.5,0,0.181818182
centro de estudios clasicos,1977,1,1,0,0,4,4,0,4,1,0,0,0,1,1,0,1,0,0,0,7,0,0,7,0,0,0,0.142857143,0,0.142857143,2,5,0,2,1,4,0.5,0.8,0,0.5,0,0.5
centro de estudios clasicos,1978,1,1,0,0,6,3,0,6,1,0,0,0,1,0.666666667,0,1,0,0,0,9,0,0,9,0,0,0,0.222222222,0,0.222222222,1,5,0,1,1,2,1,0.8,0,1,0,1
centro de estudios literarios,1972,1,1,0,1,4,1,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,9,3,0,1,5,9,0.444444444,0.666666667,0,0,0.4,0.444444444
centro de estudios literarios,1973,1,3,0,1,5,1,0,10,0,0.666666667,0,0,0.8,0,0,0.6,0,0,0,1,0,0,1,0,0,0,1,0,1,8,3,0,1,5,11,0.375,0.666666667,0,0,0.4,0.454545455
centro de estudios literarios,1974,1,2,0,1,2,2,0,8,1,1,0,0,1,0.5,0,0.75,0,0,0,4,0,0,4,0,0,0,0.25,0,0.25,8,4,0,1,5,18,0.375,0.5,0,0,0.4,0.388888889
centro de estudios literarios,1975,1,2,0,1,4,2,0,9,1,1,0,0,1,0.5,0,0.888888889,0,0,0,7,0,0,7,0,0,0,0.428571429,0,0.428571429,7,4,0,1,2,10,0.285714286,0.5,0,0,0,0.2
centro de estudios literarios,1976,1,1,0,1,4,2,0,8,1,1,0,0,1,0.5,0,0.875,0,0,0,7,0,0,7,0,0,0,0.428571429,0,0.428571429,7,4,0,2,2,15,0.285714286,0.75,0,0,0.5,0.4
centro de estudios literarios,1977,1,1,0,1,5,2,0,8,1,1,0,0,1,0.5,0,0.875,0,0,0,5,0,0,5,0,0,0,0.4,0,0.4,7,8,0,1,2,16,0.571428571,0.875,0,0,0.5,0.6875
centro de estudios literarios,1978,1,1,0,1,12,4,0,16,1,1,0,0,1,0.5,0,0.875,0,0,0,3,0,0,3,0,0,0,0.666666667,0,0.666666667,7,9,0,1,2,16,0.428571429,1,0,0,0.5,0.75
centro de estudios mayas,1975,1,1,0,0,2,3,0,6,1,0,0,0,1,0.666666667,0,0.666666667,0,0,0,1,0,0,1,0,0,0,1,0,1,6,3,0,2,1,11,0.166666667,0.333333333,0,0.5,1,0.272727273
centro de estudios mayas,1976,1,1,0,0,4,3,0,8,1,0,0,0,1,0.666666667,0,0.75,0,0,0,2,0,0,2,0,0,0,1,0,1,6,5,0,3,1,14,0.5,0.8,0,0.333333333,1,0.571428571
centro de estudios mayas,1977,1,3,0,0,3,3,0,10,1,0,0,0,1,0.666666667,0,0.6,0,0,0,2,0,0,2,0,0,0,1,0,1,8,6,0,3,1,14,0.375,0.5,0,0.333333333,1,0.428571429
centro de estudios mayas,1978,1,6,0,0,4,6,0,16,1,0,0,0,1,0.666666667,0,0.5,0,0,0,2,0,0,2,0,0,0,1,0,1,8,6,0,3,1,14,0.5,0.666666667,0,0.333333333,1,0.571428571
centro de estudios nucleares,1971,2,7,0,0,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,1,4,1,11,0.125,0,0,0.25,0,0.181818182
centro de estudios nucleares,1972,3,9,0,0,6,2,0,17,0,0,0,0,0.833333333,0,0,0.294117647,0,0,0,1,1,0,2,0,0,0,0,0,0,9,0,1,4,1,13,0.111111111,0,0,0.25,0,0.153846154
centro de estudios nucleares,1973,3,21,0,0,5,2,0,28,0.333333333,0.523809524,0,0,0.8,0,0,0.535714286,0,0,0,1,1,0,2,0,0,0,0,0,0,11,0,1,4,1,16,0.272727273,0,0,0.25,0,0.25
centro de estudios nucleares,1974,4,10,0,0,3,5,0,18,0.25,0,0,0,0.666666667,0.2,0,0.166666667,0,0,0,2,1,0,3,0,0,0,0,0,0,11,0,1,3,2,17,0.090909091,0,0,0.333333333,0.5,0.176470588
centro de estudios nucleares,1975,4,11,0,0,7,6,0,24,0.25,0,0,0,0.714285714,0,0,0.208333333,0,0,0,6,2,0,8,0,0,0,0.333333333,0,0.25,13,0,1,4,2,19,0.153846154,0,0,0.25,0.5,0.210526316
centro de estudios nucleares,1976,5,11,0,0,8,7,0,31,0.2,0,0,0,0.625,0,0,0.193548387,0,0,0,5,1,0,6,0,0,0,0.2,0,0.166666667,14,0,1,3,2,19,0.214285714,0,0,0,0.5,0.210526316
centro de estudios nucleares,1977,2,11,0,0,8,8,0,29,1,0,0,0,0.625,0,0,0.24137931,0,0,0,2,4,0,6,0,0,0,0,0,0,15,0,1,3,3,18,0.266666667,0,0,0,0.666666667,0.333333333
centro de estudios nucleares,1978,2,11,0,0,8,8,0,29,0.5,0,0,0,0.875,0,0,0.275862069,0,0,0,5,1,0,6,0,0,0,0,0,0,18,0,1,3,3,21,0.333333333,0,0,0,0.666666667,0.380952381
centro de informacion cientifica y humanistica,1974,3,5,0,0,10,5,0,23,0,1,0,0,0,0.4,0,0.304347826,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,10,10,0,0,0,0,0.4,0.4
centro de informacion cientifica y humanistica,1975,3,4,0,0,13,6,0,26,0,0.75,0,0,0.923076923,0.333333333,0,0.653846154,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,9,9,0,0,0,0,0.444444444,0.444444444
centro de informacion cientifica y humanistica,1976,3,4,0,0,14,6,0,27,0,0.75,0,0,0.928571429,0.333333333,0,0.666666667,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,1,1
