entidades,infdist,infudist,infvar,infdisp,infudisp,infvarp
enap,0.20150365763752143,0.3053589051533736,0.37231450528121,28.659618665085443,29.362453898213513,0.43401054604062667
eneo,0.13876416235255695,0.19238314141085888,0.30436022579073096,19.736257019007855,18.49902205286128,0.3547955986531105
enep acatlan,0.15723440733580685,0.21872691512734332,0.7500338196846457,22.36325736270822,21.03216527613399,0.8743215292791292
enep aragon,0.15479213462244934,0.21539903611209554,0.6492007323830506,22.01589590306226,20.712165785321808,0.7567794441388433
enep cuautitlan,0.15623004309237343,0.21706953965538,0.6239999010735033,22.22040786530888,20.872796709944286,0.7274025963335898
enep iztacala,0.15754933444202468,0.218883640467608,0.8260600383929528,22.408049059679488,21.047235544269427,0.9629460126848306
enep zaragoza,0.15518851735699546,0.2157673775709683,0.7262142206292737,22.072272934381218,20.747584464529872,0.8465547969980903
ents,0.14929731969982774,0.20845725580219598,0.5038472226684547,21.23437510009579,20.0446637053724,0.5873394808140057
escuela nacional de musica,0.15101477763772375,0.2092395406053933,1.732280868486015,21.478647041114186,20.119886012898085,2.0193362196820366
facultad de arquitectura,0.13506745110150797,0.1784109614621856,0.13948636511990742,19.21047830108216,17.155496507423525,0.16260057728663654
facultad de ciencias,0.13958901225267084,0.1948154430148914,0.16593629585322844,19.853574411011344,18.732905337447608,0.19343351212390505
facultad de contaduria y administracion,0.14767662774423773,0.20740003815898578,0.9343496239223867,21.003866066337526,19.943004628839013,1.0891802084507045
facultad de derecho,0.1448599626202589,0.20174599215281663,0.82204327168769,20.60325523223698,19.399327459472907,0.9582636296824487
facultad de economia,0.13930103767846203,0.19222928534188333,0.5863856535000309,19.81261613968849,18.48422768578695,0.6835553115872172
facultad de ingenieria,0.13875170070325882,0.19568989739758869,0.702353514046294,19.734484613876308,18.816990412631984,0.8187401452826746
facultad de medicina,0.14452393342463288,0.20134678971373998,1.1987555264962992,20.555462210909788,19.36094127516446,1.397400674010578
facultad de psicologia,0.14479729471509584,0.20509385988678452,0.3729522353678192,20.59434205276634,19.721249009285167,0.43475395404431627
facultad de quimica,0.15182326781671518,0.20516607363770423,0.33096251313020275,21.59363761000025,19.728192880567164,0.3858061370295654
fcpys,0.13330441856925168,0.18594397085434555,0.06663771058876478,18.95972434127316,17.87984951386691,0.0776802105458733
ffyl,0.1406622140915138,0.19469212513042888,0.41504744568408114,20.00621459537582,18.721047436347465,0.48382473951171745
fmvz,0.14028987253223424,0.1929482187201762,0.29573763062640523,19.953256910998142,18.553358298386602,0.34474415778128703
fo,0.15881595416139804,0.22217842017482814,1.6344339165392796,22.588198832524895,21.364052298670053,1.905275100814969
