year,a,b,c,d,clusters,maxangle,maxclus,minclus,minangle
1959,0.12862075078421056,0.7188523857128906,0.3004849323038204,0.20289739140570737,1,1.9722494961089156,6,3,0.11194183556576963
1959,0.04937566363355749,-0.3311967559716129,0.2548957398017396,0.00712727224238321,2,2.0715390197200634,3,2,0.5293888947170527
1959,0.570453042702999,-0.222570869029644,-0.3359418718099191,-0.01774807488109626,3,2.1634385791723485,1,4,1.467150890009227
1959,-0.21336928568444277,0.04468519752573458,-0.0743138792130257,-0.03293035797083635,4,1.6319351604241457,2,1,0.6503962594608538
1959,0.4082420903240056,0.3174513605091265,0.0920488876307404,0.0184896560795482,5,2.061676288422954,1,3,0.857067532674427
1961,0.17760797578144483,0.38618288804316,-0.12967137860044683,0.11213598191467192,1,2.3459006614533746,1,2,1.3385119568807604
1961,0.16440040504143613,-0.38471151643103746,0.07152226499291779,0.01438114361764532,2,1.4186563520741284,2,1,0.9714905382126129
1962,0.2819811079342908,0.4735090126615783,-0.02092963747837412,0.04664781176287282,1,1.7599553433214161,1,2,0.8015029432047981
1962,0.01739947999915996,-0.34461234339485075,0.01801470945823444,0.02031990755892154,2,1.765999858909847,2,1,1.4340551569442197
1963,0.2959611776106727,0.475403987752355,-0.0181591919256432,0.04300844110052031,1,1.7115453847316078,1,2,0.7930982625443765
1963,0.01095611556721341,-0.3454020138431335,0.02823802738035643,0.03446973787427181,2,1.7721139365618221,2,1,1.440805626635008
1964,0.306434058302231,0.5003967594161098,-0.02877552188820117,0.03847186737991347,1,2.0072854032191585,1,2,0.7819071680511148
1964,0.01321869392388434,-0.32862059201396665,0.0662430752004843,0.04175346688348459,2,1.76536888899613,2,1,1.1804490735705198
1965,0.09253798441592648,0.45805196369973744,-0.0235168072650096,0.03799880009821446,1,2.0478391658008905,1,5,0.9241637004277116
1965,0.1494441618852516,-0.314882609084455,0.0339119462705898,-2.644181105985714e-4,2,2.388772363291269,3,1,1.033702299963888
1966,0.10159856212399042,0.4706873277817577,-0.1411811391140735,0.03212891400185976,1,2.5742619955638406,24,1,0.6275329535344933
1966,0.09144622282711969,-0.24894551835996523,0.07176164063207778,0.03493769589853126,2,2.735382943672776,11,10,0.6187088225438937
1967,0.46620727658698113,-0.03062333628697514,0.01414933942454403,-0.00421366089415538,1,1.7481859271023998,1,3,1.040618032595182
1967,-0.2960413709570008,0.07156958335409704,-0.11266245438113616,0.06369889472631911,2,1.9836130433727346,3,2,1.6914361477635351
1967,-0.4785794054273764,-0.1927115320271718,0.44786292113901494,-0.04464375136966962,3,2.0769825527796035,3,1,0.5472096844589972
1967,-0.49889031047110527,-0.5656797036750203,1.1830442700009611,-0.04110774389986683,4,1.9391092842101343,3,1,0.13615267361244912
1968,0.4139251914780929,0.02151708321738395,0.02413715482842337,0.0940385148829428,1,1.2149834644590112,1,2,1.0446064585321526
1968,-0.3447766311895851,0.02828320466260302,-0.1239087942586603,0.03909004805765884,2,2.0406971978055553,2,1,1.5832277115379998
1968,-0.5054261649070062,-0.16808159585390428,0.35841386470072867,-0.12231475388744902,3,2.2017088489529897,3,2,1.750610751016219
1968,-0.4098890728574567,-0.23115003725632388,0.6509177148572742,0.02245119768448949,4,2.1295284006067963,3,2,1.4325296023584086
1969,0.46886018568877286,0.06036449044785236,0.00360071013358706,0.05002088000922822,1,1.8375261155991343,1,4,1.1292369535131255
1969,-0.2929209034072809,0.03221954947667485,-0.10108365744011008,0.08370743134060674,2,1.8794104602523771,2,3,1.411297925897586
