Variables,Influencia ,,Contribuciones,
,Distancia del origen,Distancia de pares,Distancia del origen,Distancia de pares
cap_cubiculos,3.99,4.44,11.65,5.34
cap_laboratorios,2.11,3.28,20.35,10.47
cap_Salones_de_clase,1.47,2.56,12.89,19.65
n,0.36,1.92,8.10,40.02
cap_auditorios,0.65,1.21,8.55,3.73
docen_ayut,0.74,0.89,3.68,1.74
cap_talleres_de_docencia,1.31,0.15,20.57,7.45
docen_totalf,0.63,0.67,4.42,4.16
num_talleres_de_docencia,0.31,0.53,1.53,0.46
cap_oficinas_administrativas,0.44,0.39,0.36,0.49
cap_cafeterias,0.39,0.43,0.66,0.55
admin_espe,0.29,0.35,0.78,0.41
inv_total,0.30,0.32,0.57,0.07
fem,0.28,0.32,0.02,0.00
num_oficinas_administrativas,0.29,0.32,0.09,0.11
docen_catt,0.31,0.29,3.17,2.83
inv_tec,0.28,0.31,0.01,0.01
admin_prof_f,0.28,0.32,0.02,0.00
inv_ay,0.28,0.31,0.09,0.03
admin_conf_f,0.27,0.31,0.01,0.00
admin_serv_f,0.27,0.31,0.01,0.00
admin_espe_f,0.27,0.31,0.01,0.00
admin_auxadm_f,0.27,0.31,0.01,0.00
num_Salones_de_clase,0.27,0.30,0.26,0.30
docen_ayu_f,0.27,0.31,0.01,0.00
admin_admin_f,0.27,0.31,0.01,0.00
docen_cat_f,0.26,0.30,0.01,0.00
docen_mt_f,0.26,0.30,0.01,0.00
docen_total_f,0.26,0.30,0.01,0.00
admin_total_f,0.26,0.30,0.01,0.00
