general,year,admin_conf,admin_espe,admin_serv,admin_obre,admin_admin,admin_auxadm,admin_prof,admin_total,admin_conf_f,admin_espe_f,admin_serv_f,admin_obre_f,admin_admin_f,admin_auxadm_f,admin_prof_f,admin_total_f,docen_emet,docen_tct,docen_mtt,docen_catt,docen_ayut,docen_tect,docen_totalf,docen_eme_f,docen_tc_f,docen_mt_f,docen_cat_f,docen_ayu_f,docen_total_f,inv_tc,inv_ay,inv_eme,inv_mt,inv_tec,inv_total,inv_tc_f,inv_ay_f,inv_eme_f,inv_mt_f,inv_tec_f,inv_total_f,n,fem,pert,perm,pern,cap_salones,cap_auditorios,cap_bibliotecas,cap_cafeterias,cap_cubiculos,cap_laboratorios,cap_oficinas,cap_talleres,num_salones,num_auditorios,num_bibliotecas,num_cafeterias,num_cubiculos,num_laboratorios,num_oficinas,num_talleres
biblioteca nacional,1960,10,40,14,0,26,32,4,67,0.6,0.425,0,0,0.615384615,0.0625,0.5,0.343283582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,0,1,0,8,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1962,1,96,14,0,26,32,4,155,0,0.260416667,0,0,0.615384615,0.0625,0.5,0.277419355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,1,0,4,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1963,1,76,14,0,18,27,4,122,0,0.302631579,0,0,0.611111111,0.074074074,0.5,0.295081967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,0,3,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1964,2,110,14,0,30,46,4,188,0,0.309090909,0,0,0.5,0.086956522,0.5,0.281914894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,2,0,6,0,1,0,0.5,0,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1965,2,100,14,0,27,43,4,172,0,0.3,0,0,0.481481481,0.069767442,0.5,0.26744186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,1,0,5,0,1,0,1,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1966,2,91,14,0,24,41,4,156,0,0.274725275,0,0,0.5,0.073170732,0.5,0.256410256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,1,0,8,0.428571429,1,0,1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1967,2,81,14,0,21,38,4,140,0,0.259259259,0,0,0.476190476,0.052631579,0.5,0.235714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,3,0,7,0.25,1,0,0,0,0.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1968,2,91,14,0,17,41,4,153,0,0.340659341,0,0,0.470588235,0.073170732,0.5,0.287581699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,4,0,6,0,1,0,0.25,0,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1969,2,80,14,0,38,40,1,159,0,0.375,0,0,0.368421053,0,0,0.27672956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,6,0,10,0.25,1,0,0.333333333,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1970,2,73,14,0,56,38,1,168,0,0.356164384,0,0,0.428571429,0,0,0.303571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,6,0,10,0,1,0,0.333333333,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1971,2,66,14,0,73,36,1,177,0,0.348484848,0,0,0.479452055,0,0,0.327683616,0,1,0,1,0,0,2,0,1,0,1,0,1,5,1,0,6,0,11,0,1,0,0.5,0,0.272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1972,2,66,14,0,74,41,1,183,0,0.287878788,0,0,0.5,0,0,0.306010929,0,0,0,1,0,0,1,0,0.875,0,1,0,1,5,1,0,7,0,12,0.2,1,0,0.428571429,0,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biblioteca nacional,1973,1,66,14,0,70,41,1,179,0,0.348484848,0,0,0.457142857,0.024390244,0,0.312849162,0,0,0,2,0,0,2,0,0.75,0,1,0,1,5,1,0,7,0,12,0.2,1,0,0.428571429,0,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
